cohort_id,cohort,slice,period_vs_mdl,occp_cod,reporter_label,reporter_group,n_cases,cohort_n_cases,pct_of_cohort
5,5 GLP-1 class - all four molecules,2025Q3,pre-MDL,(blank),(not reported),Not reported,34,31183,0.11
5,5 GLP-1 class - all four molecules,2025Q4,MDL quarter (established Dec 2025),MD,Physician,Healthcare professional,777,20503,3.79
5,5 GLP-1 class - all four molecules,2025Q4,MDL quarter (established Dec 2025),PH,Pharmacist,Healthcare professional,291,20503,1.42
5,5 GLP-1 class - all four molecules,2025Q4,MDL quarter (established Dec 2025),HP,Other health professional,Healthcare professional,756,20503,3.69
5,5 GLP-1 class - all four molecules,2025Q4,MDL quarter (established Dec 2025),RN,Registered nurse,Healthcare professional,0,20503,0.00
5,5 GLP-1 class - all four molecules,2025Q4,MDL quarter (established Dec 2025),OT,Other,Other,0,20503,0.00
5,5 GLP-1 class - all four molecules,2025Q4,MDL quarter (established Dec 2025),CN,Consumer,Consumer,18400,20503,89.74
5,5 GLP-1 class - all four molecules,2025Q4,MDL quarter (established Dec 2025),LW,Lawyer,Lawyer,227,20503,1.11
5,5 GLP-1 class - all four molecules,2025Q4,MDL quarter (established Dec 2025),(blank),(not reported),Not reported,52,20503,0.25
5,5 GLP-1 class - all four molecules,2026Q1,post-MDL,MD,Physician,Healthcare professional,1057,23777,4.45
5,5 GLP-1 class - all four molecules,2026Q1,post-MDL,PH,Pharmacist,Healthcare professional,388,23777,1.63
5,5 GLP-1 class - all four molecules,2026Q1,post-MDL,HP,Other health professional,Healthcare professional,488,23777,2.05
5,5 GLP-1 class - all four molecules,2026Q1,post-MDL,RN,Registered nurse,Healthcare professional,0,23777,0.00
5,5 GLP-1 class - all four molecules,2026Q1,post-MDL,OT,Other,Other,0,23777,0.00
